Category,Name,Price (INR),Discount (%),Rating,Sold By
ref=zg_bs_nav_kitchen_0,Shalimar Premium Garbage Bags (Lavender Fragrance) Size 19 X 21 Inches (Medium) 120 Bags (4 Rolls) Dustbin Bag/Trash Bag - Black Color,299.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Wakefit Height Adjustable Hollow Fiber Sleeping Pillow with Zip |(White and Grey, Standard, Set of 2, Microfiber) 3 Months Warranty",878.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Cookwell Bullet Mixer Grinder (5 Jars, 3 Blades, Silver) - Copper, 600 Watts - 2 Year Warranty",2199.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Pigeon by Stovekraft Cruise 1800 watt Induction Cooktop With Crystal Glass,7 Segments LED Display, Auto Switch Off - Black",1299.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Phool Winter Cheer Christmas Gift Box Secret santa gifts new year gifting employee gifting - Contains Incense Sticks with stand,Chocolate Waffle Bites,Millet Namkeen, Santa clause and Tree Magnet, Celestial Plantable Calender 2025,Kimirica Body Lotion and Shampoo and Greeting card.",565.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"House of Quirk 1200ML Stainless Steel Tumbler Hot and Cold with Handle and Lid 2 Straw, Double Insulated Cup 100% Leak Proof Mug Cupholder for Gym, Travelling (Cotton Candy Haze)",1249.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Havells Electric Kettle Aqua Plus 1250 Watts 1.2 liters , Double Layered Cool Touch Outer Body | 304 Rust Resistant SS Inner Body with Auto Shut Off | Wider Mouth | 2 Yr Manufacturer Warranty (Black)",1449.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Genteel Nova Lint Remover for Clothes, Fabric Brush, for Woolen Sweaters, Clothes, Shirts, Jackets, Burr Remover, Pill Remover from Carpets, Curtains Heavy Quality Material with 12+3 Monthes Warranty",348.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Milton Glassy 1000 Thermosteel 24 Hours Hot and Cold Water Bottle with Drinking Cup Lid, 1 Litre, Purple",999.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"BSB HOME 3D Printed 144 TC Microfiber Double Bedsheet with 2 King Size Pillow Covers (Maroon, White and Yellow Checks, 90X90 Inches)",198.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,Pexpo Electro Pro 24 Hrs Hot & Cold ISI Certified | Stainless Steel Water Bottle - 1000ml Denim Blue | Thermoflask | Office Bottle | Workout | Travelling | Home | Limited RCB Edition,769.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"BSB HOME Polyester Micromink Summer Ac/Mild Winter/Heavy Winter Sherpa Blanket Super Soft Flannel Solid/Plain, Blue & Grey, Size 150 X 228 Cms (Approx 4X7 Ft) (Single), 200 TC",999.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,Trident 100% Cotton Towels for Bath | Towels for Bath Large Size Bath Towel - Soft & Absorbent | 450 GSM | 1 Piece Bath Towel for Men/Women | Urban Comfort | 70 cms x 140 cms - New Navy,349.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,Amazon Basics Portable Digital Weighing Scale for Kitchen | Electronic Weighing Scale With Back light LCD Display and high precision sensors | Range of 1g-10 kg (Black),369.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,Orient Electric Arc Plus 1.5kw |Immersion water heater|100% shock proof body|Heavy copper element|With Bucket clip| ISI certified | 2 years replacement warranty,609.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Status Contract Anti Slip Front Door Mat|(38x58cm) Living Room Rug for Entrance Door|Polypropylene Floor Mats for Home|Essential Small Rug for Office, Bedroom & Kitchen| (Blue), Rectangular",99.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Butterfly Premium Vegetable Chopper 900 Ml, Blue",298.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"MILTON Super 1000 Stainless Steel Water Bottle, 1000 ml water bottles, Single walled, Leak-Proof, Rust-free Steel Bottle, Easy Grip, Easy to Carry, Travel Bottle, Silver",299.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"NYRWANA Coffee Mug, Birthday Gift, Cups and Mugs, Mugs for Gift, Ceramic Mug, Coffee Mug with Lid, Cute Mugs with Lid & Spoon, 3D Creative Space and Astronaut Planet Coffee Mug (400ml - Dark Blue)",499.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Pigeon Kessel Multipurpose Kettle (12173) 1.2 litres with Stainless Steel Body, used for boiling Water and milk, Tea, Coffee, Oats, Noodles, Soup etc. 600 Watt (Black & Silver)",849.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,Longway Magma 2000/1000 W Fan Room Heater With ISI Approved (White),799.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Boldfit Water Bottles Stainless Steel Water Bottle 1 Litre Steel Water Bottles for School, Office, Home, Gym 1 Litre Water Bottle for Men Leakproof, Rust free Steel Bottle -1000 ml Water Bottle Black",329.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"GLUN® Lint Remover for Clothes Fuzz Remover for All Woolen Clothes, USB Port, Lint Remover for Clothes, Sweaters, Blankets Pack of 1",199.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"5 Pack Smart Saver Vacuum Bags for Travel, Space Saver Bags (1 Large/2 Medium/2 Small) Compression Storage Bags for Clothes, Bedding, Pillows, Comforters, Blankets Storage Vacuum Sealer Bags for Clothes Storage, Vaccine Sealed Compression Airtight Reusable Packing Ziplock Bag with Travelling Hand Pump",537.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Bajaj DX-6 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White",599.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,Crompton Insta Comfy 800 Watt Room Heater with 2 Heat Settings(Grey Blue),1488.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,JIALTO Adhesive wall Hook 10 Pack Heavy Duty Wall Hooks for Hanging Wall Decor items home decor items wall clock hanging hooks Photo Frame Hooks for Wall Without Drilling Nail Hook key holder,199.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Odonil Room Air Freshener Spray - 440ml Combo (Pack of 2, 220ml each) | Lavender Mist & Jasmine Fresh | Nature Inspired Fragrance for Home & Office | Long Lasting Fragrance",199.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Havells 11 Fin Hestio Straight Fin OFR | 2900 Watt, Thermostatic heat control with 3 power settings & PTC fan control | Superior grade oil for long-lasting heat | (Pack of 1, Black)",10499.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,Cello Puro Steel-X Benz 900 | Leak Proof| Wide Mouth & Easy to Open | Insulated Inner Steel Water Bottle | 730ml | Turquoise,299.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,wipro Garnet 10W LED Bulb for Home & Office |Cool Day White (6500K) | B22 Base|220 degree Light coverage |4Kv Surge Protection |400V High Voltage Protection |Energy Efficient | Pack of 1,60.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,UCRAVO Double Sided Tape Heavy Duty - Multipurpose Removable Traceless Mounting Adhesive Tape for Walls，Washable Reusable Strong Sticky Strips Grip Tape,199.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DRUNKEN Slipper For Men and Women Flip Flops Hotel Spa Massage Chappal Bedroom Carpet Slippers Sandal,284.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Sparx Men's Slippers,250.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,ASIAN Men's Wonder-13 Sports Running Shoes…,549.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT Doctor Ortho Slippers for Women.,399.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"AIRSON AL-5 Slipper for Women | Orthopedic, Diabetic, Pregnancy | Soft Doctor Anti-Skid Slipper for Women |Slides, Flip-Flops, Slippers, Chappals | For Ladies and Girls",329.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR HEALTH SUPER SOFT Women's Flip-Flops Slippers | Flip-Flops | Women's & Girl's Slippers | Comfortable & Lightweight | Soft Foot Massager | All Day Wear Flip-Flops Slipper,699.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT Doctor Slippers for Women Orthopedic Diabetic Pregnancy Non Slip Lightweight Comfortable Flat Casual Stylish Dr Chappals and House Flip flops For Ladies and Girl’s D-22,349.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,FLITE Men's Flip Flops Thong Slippers,219.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Lavie Women's Ushawu Small Satchel Bag | Ladies Purse Handbag,898.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Fargo Leatherette Side White Sling Bags For Women's Ladies,99.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"DOCTOR EXTRA SOFT Flexible Memory Foam Women's Shoes for Walking Gym Training,Casual, Sports,Slip-On,Lightweight Lace up Athletics Slipon Running Sneaker for Ladies and Girls",854.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Dr.Ortho Orthopedic Slippers | Acupressure Slippers | Flip-Flops | For Men & Women's Slippers,379.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Bata 8216 Boss-Grip Black Derby Shoes for Men|Birthday Parties|Family Gatherings|School Performances|Flexible|Other Occasions,760.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Campus Men's North Running Shoe,1199.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT Men's Classic Ultra Soft Sliders/Slippers with Cushion FootBed for Adult | Comfortable & Light Weight | Stylish & Anti-Skid | Waterproof & Everyday Flip Flops for Gents/Boys D-504,695.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,SPARX Mens Sm 675 Walking Shoe,799.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"Frido Dual Gel Heavy Duty Trimmable Insoles, For Loose Shoes or Replacing Existing Insoles, Thick Shoe Inserts, Extra Comfort and Support, Proudly Made in India, (Size 8-13 UK) - Pack of 1 Pair",678.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,TCCO Natural Sneaker & Shoe Cleaner Wipes - 1 Packs of 80 - Portable Sneakers Cleaner Shoe Wipes Quickly Remove Dirt & Stains - These Disposable Shoe Cleaning Wipes Can Be Used On Footwear,269.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,YOHO Bubbles Women Ortho slippers | Soft comfortable and stylish flip flop slippers for Women in exciting colors |Lightweight | Anti Skid | Daily Use Chappal,490.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Campus Women's Kurstin Walking Shoe,934.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Liberty Boys Gola-schv School Uniform Shoe,599.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Lavie Women's Betula Medium Tote Bag | Ladies Purse Handbag,868.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Bacca Bucci FLAME Original 7-Eye Moto Inspired Mild water proof High top ankle Snow boots for Men,1709.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,FLITE Women's Fl0366l Slippers,174.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,DOCTOR EXTRA SOFT Womens D-19 slipper,399.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Bata Women's ORTHO COMFIT LADIES Slippers,199.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Liberty Boys Skolpro-v School Uniform Shoe,696.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,LEGAL BRIBE Textured Tote bag,449.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"Nivia Flash 2.0 Badminton Shoes for Men | Your Go-to Shoe for Pickleball, Padel, and All Court Sports | Badminton Sports Shoes | (Blue/White/Sky Blue)",949.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,ASIAN Men's TARZAN-11 Casual Sneaker Shoes with Synthetic Upper Lightweight Comfortable Mid Top Sneaker Shoes for Men's & Boy's,729.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"DRUNKEN Slippers For Women Men Winter Sandals Casual Flats Home Footwear Man Girls Sliders Flip Flops Chappals Ladies Clogs Sleeper Slides Stylish Ortho Soft (Color : Rose Pink, Size : 5-6 UK)",279.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,"ASIAN Men's Cosko Sports Running,Walking,Gym,Training Sneaker Lace-Up Shoes for Men's & Boy's",624.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,BRUTON Men Sport Shoes | Running Shoes | Casual Walking Shoes | Sneakers,499.00,33.33,Not Available,Not Available
ref=zg_bs_nav_shoes_0,Lify 2 Pair Super Quality 19 Colors Flat Shoe laces 5/16 Wide Shoelaces for Athletic Running Sneakers Shoes Boot Strings,155.00,33.33,Not Available,Not Available
